# Index  Value
1  1.707107
2  1.353554
3  1.000001
4  0.853553
5  0.999999
6  1.353552
7  1.707106
8  1.353554
9  1.000000
10  0.646447
11  0.500000
12  0.646446
13  0.999999
14  1.353554
15  1.000001
16  0.646447
17  0.292893
18  0.146446
19  0.292893
20  0.646447
21  1.000000
22  0.853553
23  0.500000
24  0.146446
25  -0.000000
26  0.146446
27  0.500000
28  0.853553
29  0.999999
30  0.646446
31  0.292893
32  0.146446
33  0.292893
34  0.646446
35  0.999999
36  1.353552
37  0.999999
38  0.646447
39  0.500000
40  0.646446
41  0.999999
42  1.353552
43  1.707106
44  1.353554
45  1.000000
46  0.853553
47  0.999999
48  1.353552
49  1.707105
